
[Name]
dingzi_wall_tie

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
8.35949462e-003, 3.91173363e-002, 1.29472688e-001, 3.17629059e+002
7.38908025e-003, 3.93121839e-002, 1.30063251e-001, 3.17877960e+002
5.43427654e-003, 3.96297053e-002, 1.28259957e-001, 3.18947113e+002
6.41144672e-003, 3.94834019e-002, 1.27662733e-001, 3.18316620e+002
5.42711141e-003, 3.96306850e-002, 1.27251551e-001, 3.18910858e+002
6.39614044e-003, 3.94858830e-002, 1.26654848e-001, 3.18267853e+002
4.45244741e-003, 3.97519767e-002, 1.28859565e-001, 3.19591034e+002
8.35949462e-003, 3.91173363e-002, 1.26472697e-001, 3.17494537e+002
8.35949462e-003, 3.91173363e-002, 1.27472699e-001, 3.17557281e+002
7.38665788e-003, 3.93126383e-002, 1.27067447e-001, 3.17770996e+002
8.35949462e-003, 3.91173363e-002, 1.25472695e-001, 3.17412933e+002
7.38293445e-003, 3.93133387e-002, 1.26064822e-001, 3.17701965e+002
1.48792542e-003, 3.99728343e-002, 1.33601069e-001, 3.20724030e+002
1.48767605e-003, 3.99728417e-002, 1.32612661e-001, 3.20726715e+002
2.47755693e-003, 3.99237275e-002, 1.33011967e-001, 3.20485321e+002
3.46537610e-003, 3.98501493e-002, 1.31431237e-001, 3.20147003e+002
3.46532860e-003, 3.98501530e-002, 1.30443066e-001, 3.20127441e+002
3.46543104e-003, 3.98501419e-002, 1.32422373e-001, 3.20134430e+002
2.47742119e-003, 3.99237350e-002, 1.32022381e-001, 3.20504395e+002
-1.48449803e-003, 3.99729237e-002, 1.35363638e-001, 3.20809967e+002
-2.47481419e-003, 3.99238355e-002, 1.34958982e-001, 3.20628082e+002
-1.48516311e-003, 3.99728976e-002, 1.34373546e-001, 3.20812958e+002
-2.47417949e-003, 3.99238765e-002, 1.35950536e-001, 3.20623199e+002
-3.46290623e-003, 3.98502760e-002, 1.35544389e-001, 3.20282959e+002
-3.46233277e-003, 3.98503281e-002, 1.36537418e-001, 3.20295776e+002
-4.44886880e-003, 3.97522673e-002, 1.36129797e-001, 3.19800232e+002
-4.44937870e-003, 3.97522114e-002, 1.35137379e-001, 3.19785065e+002
-3.46349296e-003, 3.98502275e-002, 1.34553954e-001, 3.20282013e+002
3.46364686e-003, 3.98502983e-002, 1.39413863e-001, 3.20256134e+002
2.47569080e-003, 3.99238430e-002, 1.39002100e-001, 3.20553986e+002
3.46364686e-003, 3.98502983e-002, 1.38413876e-001, 3.20212433e+002
4.44947835e-003, 3.97523083e-002, 1.38825640e-001, 3.19726898e+002
4.44947835e-003, 3.97523083e-002, 1.37825638e-001, 3.19700836e+002
2.47569080e-003, 3.99238430e-002, 1.38002098e-001, 3.20534149e+002
3.46364686e-003, 3.98502983e-002, 1.37413874e-001, 3.20195618e+002
4.44947835e-003, 3.97523083e-002, 1.36825636e-001, 3.19679108e+002
1.48621644e-003, 3.99728976e-002, 1.39590338e-001, 3.20792938e+002
2.47569080e-003, 3.99238430e-002, 1.40002102e-001, 3.20623322e+002
4.95830609e-004, 3.99974324e-002, 1.39178574e-001, 3.20874207e+002
1.48621644e-003, 3.99728976e-002, 1.38590336e-001, 3.20738647e+002
2.47569080e-003, 3.99238430e-002, 1.41002104e-001, 3.20673676e+002
3.46364686e-003, 3.98502983e-002, 1.40413865e-001, 3.20295898e+002
4.44947835e-003, 3.97523083e-002, 1.39825627e-001, 3.19758392e+002
7.38818897e-003, 3.93123515e-002, 1.36060923e-001, 3.17957611e+002
7.38818897e-003, 3.93123515e-002, 1.37060925e-001, 3.17970978e+002
6.41235150e-003, 3.94832529e-002, 1.36649162e-001, 3.18471832e+002
8.35949462e-003, 3.91173363e-002, 1.35472700e-001, 3.17710663e+002
8.35949462e-003, 3.91173363e-002, 1.36472687e-001, 3.17722076e+002
6.41235150e-003, 3.94832529e-002, 1.35649160e-001, 3.18454681e+002
7.38818897e-003, 3.93123515e-002, 1.35060921e-001, 3.17942474e+002
8.35949462e-003, 3.91173363e-002, 1.34472698e-001, 3.17695892e+002
5.43258106e-003, 3.96299362e-002, 1.37237400e-001, 3.19080688e+002
5.43258106e-003, 3.96299362e-002, 1.38237402e-001, 3.19102203e+002
6.41235150e-003, 3.94832529e-002, 1.37649164e-001, 3.18490448e+002
5.43258106e-003, 3.96299362e-002, 1.36237398e-001, 3.19059601e+002
6.41235150e-003, 3.94832529e-002, 1.38649166e-001, 3.18513336e+002
7.38818897e-003, 3.93123515e-002, 1.38060927e-001, 3.17988251e+002
8.35949462e-003, 3.91173363e-002, 1.37472689e-001, 3.17733032e+002
5.43258106e-003, 3.96299362e-002, 1.39237404e-001, 3.19127350e+002
3.46413022e-003, 3.98502573e-002, 1.34414583e-001, 3.20124908e+002
2.47705937e-003, 3.99237573e-002, 1.34005442e-001, 3.20502869e+002
3.46494769e-003, 3.98501866e-002, 1.33416787e-001, 3.20112640e+002
4.45062155e-003, 3.97521816e-002, 1.32828057e-001, 3.19605072e+002
4.44990536e-003, 3.97522599e-002, 1.33826241e-001, 3.19595184e+002
4.96941269e-004, 3.99974175e-002, 1.35182083e-001, 3.20864594e+002
1.48750539e-003, 3.99728492e-002, 1.34593919e-001, 3.20746918e+002
