
[Name]
commenface_dingzi_waike

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
4.87978645e-002, 3.49120423e-002, 1.47972688e-001, 3.01449188e+002
4.74902429e-002, 3.66709642e-002, 1.49936974e-001, 3.01279388e+002
4.74902503e-002, 3.66709493e-002, 1.47972688e-001, 3.01387543e+002
4.87978198e-002, 3.49121019e-002, 1.53865546e-001, 3.01172455e+002
4.74902168e-002, 3.66709940e-002, 1.53865546e-001, 3.01112640e+002
5.12160622e-002, 3.12569365e-002, 1.71544105e-001, 3.00530548e+002
5.23234606e-002, 2.93655526e-002, 1.71544105e-001, 3.00530640e+002
5.23234643e-002, 2.93655470e-002, 1.69579834e-001, 3.00809662e+002
5.00403270e-002, 3.31066027e-002, 1.71544120e-001, 3.00504181e+002
5.12160547e-002, 3.12569439e-002, 1.69579834e-001, 3.00812469e+002
5.12162074e-002, 3.12568322e-002, 1.75472692e-001, 3.01415955e+002
5.23234829e-002, 2.93655917e-002, 1.75472692e-001, 3.01383148e+002
5.23234569e-002, 2.93655582e-002, 1.73508391e-001, 3.00226807e+002
5.12160808e-002, 3.12569030e-002, 1.73508391e-001, 3.00228119e+002
5.00405580e-002, 3.31064016e-002, 1.75472692e-001, 3.01315796e+002
5.00403680e-002, 3.31065431e-002, 1.73508406e-001, 3.00205200e+002
5.33610433e-002, 2.74349824e-002, 1.69579834e-001, 3.00776825e+002
5.33610359e-002, 2.74349991e-002, 1.71544120e-001, 3.00504913e+002
5.33610173e-002, 2.74350364e-002, 1.73508406e-001, 3.00205109e+002
5.52212745e-002, 2.34667361e-002, 1.71544120e-001, 3.00399597e+002
5.52212857e-002, 2.34667119e-002, 1.69579834e-001, 3.00660797e+002
5.43274023e-002, 2.54678540e-002, 1.71544120e-001, 3.00456757e+002
5.43274134e-002, 2.54678316e-002, 1.69579834e-001, 3.00722870e+002
5.43273166e-002, 2.54680403e-002, 1.75472692e-001, 3.01193054e+002
5.52211963e-002, 2.34669428e-002, 1.75472692e-001, 3.01078003e+002
5.52212521e-002, 2.34667975e-002, 1.73508406e-001, 3.00120392e+002
5.43273762e-002, 2.54679080e-002, 1.73508406e-001, 3.00169586e+002
5.33609614e-002, 2.74351574e-002, 1.75472692e-001, 3.01297363e+002
5.12160435e-002, 3.12569663e-002, 1.65651262e-001, 3.01264832e+002
5.23234569e-002, 2.93655582e-002, 1.65651262e-001, 3.01263275e+002
5.23234531e-002, 2.93655656e-002, 1.63686976e-001, 3.01375885e+002
